ano,sigla_uf,serie,rede,taxa_alfabetizacao,media_portugues,proporcao_aluno_nivel_0,proporcao_aluno_nivel_1,proporcao_aluno_nivel_2,proporcao_aluno_nivel_3,proporcao_aluno_nivel_4,proporcao_aluno_nivel_5,proporcao_aluno_nivel_6,proporcao_aluno_nivel_7,proporcao_aluno_nivel_8
2023,AM,2,3,49.2,733.6637,,,,,,,,,
2023,PB,2,2,55.23,744.8152,,,,,,,,,
2023,PR,2,5,73.12,757.2146,,,,,,,,,
2023,AP,2,3,41.87,732.7858,,,,,,,,,
2023,PE,2,5,58.95,747.4522,,,,,,,,,
2023,MA,2,3,56.39,749.8729,,,,,,,,,
2023,MT,2,2,48.02,738,,,,,,,,,
2023,CE,2,3,84.49,795.7293,,,,,,,,,
2023,AL,2,5,43.88,729.7227,,,,,,,,,
2023,CE,2,2,78.75,785.1658,,,,,,,,,
2023,MS,2,3,47.53,736.0729,,,,,,,,,
2023,PI,2,2,48.27,739.785,,,,,,,,,
2023,SP,2,5,51.91,740.387,,,,,,,,,
2023,SC,2,3,62.04,747.7686,,,,,,,,,
2023,AM,2,5,52.2,736.4687,,,,,,,,,
2023,MA,2,5,56.43,749.9153,,,,,,,,,
2023,PA,2,2,57.07,741.3548,,,,,,,,,
2023,SE,2,5,31.3,713.1336,,,,,,,,,
2023,RS,2,2,63.18,747.6082,,,,,,,,,
2023,MT,2,3,55.43,747.32,,,,,,,,,
2023,GO,2,3,66.72,752.1315,,,,,,,,,
2023,PA,2,3,47.71,732.6697,,,,,,,,,
2023,AL,2,2,38.65,724.7993,,,,,,,,,
2023,RO,2,5,64.6,759.4357,,,,,,,,,
2023,PA,2,5,48.38,733.2877,,,,,,,,,
2023,SP,2,3,51.28,739.4069,,,,,,,,,
2023,PB,2,5,51.12,741.6011,,,,,,,,,
2023,SE,2,2,35.31,716.29,,,,,,,,,
2023,MS,2,2,42.9,729.3908,,,,,,,,,
2023,MT,2,5,55.03,746.8,,,,,,,,,
2023,RS,2,5,63.43,747.3933,,,,,,,,,
2023,MA,2,2,72.38,768.0339,,,,,,,,,
2023,BA,2,2,42.83,731.9768,,,,,,,,,
2023,RN,2,3,36.39,723.8538,,,,,,,,,
2023,PE,2,3,58.91,747.4203,,,,,,,,,
2023,MG,2,2,63.65,756.3436,,,,,,,,,
2023,SC,2,5,61.38,747.1144,,,,,,,,,
2023,AM,2,2,62.63,746.2058,,,,,,,,,
2023,TO,2,3,43.72,734.2853,,,,,,,,,
2023,SE,2,3,30.57,712.562,,,,,,,,,
2023,AP,2,2,40.7,731.4349,,,,,,,,,
2023,PI,2,3,52.5,744.6791,,,,,,,,,
2023,CE,2,5,84.46,795.675,,,,,,,,,
2023,BA,2,5,36.78,724.8617,,,,,,,,,
2023,RJ,2,3,52.13,737.3032,,,,,,,,,
2023,RO,2,3,65.17,760.1971,,,,,,,,,
2023,BA,2,3,36.77,724.8489,,,,,,,,,
2023,RJ,2,5,52.13,737.3032,,,,,,,,,
2023,ES,2,3,67.52,753.1398,,,,,,,,,
2023,SC,2,2,59.29,745.0389,,,,,,,,,
2023,RO,2,2,58.65,751.4731,,,,,,,,,
2023,PI,2,5,52.48,744.6583,,,,,,,,,
2023,ES,2,5,67.93,753.7213,,,,,,,,,
2023,SP,2,2,53.8,743.3046,,,,,,,,,
2023,AP,2,5,41.56,732.4277,,,,,,,,,
2023,RN,2,5,37.24,724.8933,,,,,,,,,
2023,PB,2,3,50.92,741.4419,,,,,,,,,
2023,ES,2,2,74.58,763.1214,,,,,,,,,
2023,GO,2,5,66.74,752.1505,,,,,,,,,
2023,TO,2,5,43.72,734.2853,,,,,,,,,
2023,RN,2,2,41.49,730.0875,,,,,,,,,
2023,PR,2,3,73.11,757.1952,,,,,,,,,
2023,MS,2,5,47.45,735.952,,,,,,,,,
2023,PE,2,2,79.25,763.6886,,,,,,,,,
2023,MG,2,3,58.74,750.4243,,,,,,,,,
2023,RS,2,3,63.55,747.2954,,,,,,,,,
2023,PR,2,2,80.29,770.8324,,,,,,,,,
2023,GO,2,2,76.59,763.6724,,,,,,,,,
2023,AL,2,3,44.13,729.9581,,,,,,,,,
2023,MG,2,5,59.81,751.7099,,,,,,,,,
2024,RJ,2,2,80.09,759.27,0,2.73,8.59,1.52,13.47,40.41,28.72,3.65,0.92
2024,GO,2,2,83.66,766.45,0,2.04,8.17,2.04,9.97,30.07,31.86,13.81,2.04
2024,ES,2,2,86.21,773.03,0.28,1.41,2.85,4.42,8.65,29.79,35.66,12.2,4.75
2024,PI,2,2,73.95,765.37,0.85,2.25,3.9,10.63,14.69,25.75,20.66,15.46,5.8
2024,PE,2,2,71.77,760.74,1.33,4.05,5.43,12.09,7.28,28.04,24.49,13.95,3.33
2024,CE,2,3,85.35,797.34,1.33,1.8,3.02,4.18,6.11,10.14,18.4,23.76,31.24
2024,CE,2,5,85.31,797.29,1.34,1.81,3.02,4.19,6.13,10.15,18.4,23.72,31.24
2024,MG,2,2,74.47,761.3,1.46,2.76,5.43,7.13,14.17,29.47,25.67,10.02,3.88
2024,ES,2,5,71.69,758.52,1.51,2.67,5.82,10.12,13.53,29.38,24.74,8.8,3.43
2024,ES,2,3,70.9,757.73,1.58,2.74,5.98,10.43,13.79,29.36,24.15,8.62,3.36
2024,PR,2,2,62.01,746.7,1.6,5.87,8.92,6.71,18.96,34.52,17.71,3.42,2.29
2024,RO,2,2,63.47,747.36,1.65,4.18,7.99,8.55,22.87,33.68,15.33,4.1,1.66
2024,MG,2,5,72.07,758.22,1.68,3.15,5.9,7.55,15.48,29.83,24.22,9.16,3.03
2024,MA,2,2,77.57,768.98,1.68,1.6,2.44,10.42,10.27,29.49,21.78,12.39,9.94
2024,GO,2,3,72.73,759.01,1.69,3.1,6.19,7.39,14.38,29.25,24.89,10.01,3.11
2024,GO,2,5,72.74,759.01,1.69,3.1,6.19,7.38,14.38,29.25,24.89,10.01,3.11
2024,PR,2,3,70.43,754.68,1.7,3.08,5.18,6.85,20.62,33.64,20.62,6.37,1.93
2024,PR,2,5,70.42,754.66,1.7,3.09,5.19,6.85,20.62,33.64,20.61,6.37,1.94
2024,MG,2,3,71.45,757.41,1.73,3.25,6.02,7.66,15.82,29.92,23.84,8.94,2.8
2024,PI,2,5,59.82,754.81,1.77,3.96,7.39,13.79,18.47,19.14,16.85,11.7,6.93
2024,PI,2,3,59.76,754.77,1.77,3.97,7.4,13.8,18.49,19.11,16.84,11.69,6.93
2024,CE,2,2,78.36,788.58,1.86,2.76,3.66,6.38,9.38,11.52,17.4,16.66,30.39
2024,MT,2,3,61.03,753.8,1.89,4.17,8.15,13.77,15.89,19.37,20.7,10.98,5.08
2024,MT,2,5,60.59,753.3,1.94,4.23,8.24,13.92,15.98,19.36,20.52,10.83,4.98
2024,SP,2,2,65.84,759.5751,2.07,3.37,6.48,11.11,16.05,19.8,19.24,14.53,7.37
2024,RO,2,5,62.62,745.52,2.29,4.01,8.76,9.02,22.13,33.8,14.99,3.7,1.29
2024,RO,2,3,62.56,745.38,2.34,4,8.82,9.06,22.07,33.81,14.97,3.67,1.26
2024,PB,2,3,56.01,750.88,2.34,4.34,8.68,15.51,17.68,18.32,15.77,11.73,5.64
2024,PB,2,5,55.96,750.7,2.39,4.39,8.7,15.51,17.62,18.25,15.8,11.76,5.57
2024,TO,2,5,50.07,742.86,2.45,5.42,10.24,17.12,20.18,18.78,14.62,7.85,3.34
2024,TO,2,3,50.07,742.86,2.45,5.42,10.24,17.12,20.18,18.78,14.62,7.85,3.34
2024,MA,2,3,59.61,745.7,2.52,4.16,9.1,12.31,18.82,28.58,17.89,5.08,1.55
2024,MA,2,5,59.64,745.75,2.52,4.15,9.08,12.3,18.81,28.58,17.89,5.09,1.57
2024,PE,2,5,60.79,747.31,2.54,4.02,7.55,13.33,17.16,28.23,20.45,5.36,1.37
2024,PE,2,3,60.76,747.28,2.54,4.02,7.56,13.33,17.18,28.23,20.44,5.34,1.37
2024,AM,2,2,58.18,741.79,2.66,5.02,11.74,6.78,24.74,30.16,14.53,3.5,0.87
2024,BA,2,3,35.96,725.59,2.89,9.25,16.68,19.23,22.18,17.43,9.51,2.74,0.08
2024,BA,2,5,35.96,725.58,2.89,9.25,16.69,19.23,22.18,17.43,9.5,2.74,0.08
2024,BA,2,0,35.96,725.58,2.89,9.25,16.69,19.23,22.18,17.43,9.5,2.74,0.08
2024,AP,2,3,49.28,743.38,2.91,6.25,10.69,17.21,18.41,15.83,14.47,9.41,4.81
2024,BA,2,2,34.46,723.06,3,8.99,20.6,17.98,22.47,16.48,8.24,2.25,0
2024,SP,2,5,58.13,749.8962,3.06,4.93,8.59,13.15,17.35,19.57,16.79,11.54,5
2024,AM,2,5,49.17,734.12,3.22,6.55,14.73,9,26.33,26.28,10.9,2.48,0.51
2024,SC,2,3,62.87,751.14,3.31,4.15,2.81,11.2,22.61,27.14,18.72,7.53,2.53
2024,PA,2,2,56.96,740.76,3.32,5.85,9.97,6.12,26.68,29.62,14.97,3.04,0.42
2024,MT,2,2,46.75,737.87,3.32,6.26,11.17,18.41,18.85,19.07,14.95,5.98,1.98
2024,PB,2,2,54.97,747.39,3.32,5.5,9.25,15.45,16.64,17.04,16.36,12.3,4.13
2024,AP,2,5,46.62,739.83,3.37,6.76,11.5,17.73,18.87,15.96,13.65,8.19,3.98
2024,SP,2,3,55.71,746.8603,3.38,5.43,9.26,13.79,17.75,19.5,16.03,10.61,4.26
2024,AM,2,3,46.47,731.82,3.39,7,15.63,9.66,26.8,25.12,9.81,2.17,0.41
2024,SC,2,5,62.02,750.1,3.49,4.46,2.91,11.38,22.83,26.85,18.26,7.4,2.41
2024,RJ,2,5,55.25,738.9,3.55,7.38,10.61,6.01,25.59,28.49,14.45,3.2,0.72
2024,RJ,2,3,55.22,738.87,3.56,7.38,10.62,6.02,25.61,28.47,14.43,3.2,0.71
2024,MS,2,3,56.02,741.15,3.75,6.19,10.82,11.05,18.57,25.54,17.66,5.18,1.23
2024,MS,2,5,55.87,740.99,3.77,6.21,10.81,11.15,18.63,25.52,17.55,5.14,1.21
2024,AC,2,2,55.5,743.17,3.81,6.08,4.1,12.66,25.35,25.95,16.1,4.71,1.23
2024,PA,2,5,48.2,732.94,3.91,7.79,13.31,8,27.7,25.66,11.13,2.16,0.35
2024,RS,2,2,45.63,734.967,3.92,6.98,13.15,16.34,19.6,19.56,13.27,5.25,1.93
2024,PA,2,3,47.58,732.39,3.95,7.93,13.55,8.13,27.77,25.38,10.85,2.1,0.35
2024,RS,2,5,44.67,734.2547,3.95,7.17,13.14,16.78,19.97,19.01,13.04,5.06,1.87
2024,RS,2,3,44.23,733.9263,3.96,7.26,13.14,16.99,20.15,18.76,12.93,4.97,1.84
2024,RN,2,2,45.33,736.63,4.03,7.42,12.66,17.21,17.75,17.23,13.08,7.46,3.15
2024,SC,2,2,59.29,746.78,4.07,5.44,3.25,11.95,23.54,25.93,16.81,6.96,2.04
2024,AP,2,2,39.56,730.4,4.59,8.09,13.64,19.12,20.08,16.3,11.46,4.96,1.76
2024,MS,2,2,48.33,733.25,4.64,7,10.37,16.15,21.77,24.14,12.01,3.36,0.56
2024,AC,2,5,51.38,739.15,4.96,6.57,4.36,13.92,26.07,24.23,14.81,4.14,0.93
2024,RN,2,5,39.29,730.44,5.11,8.46,14.1,19.62,18.1,14.8,11.06,6.03,2.73
2024,RN,2,3,38.16,729.28,5.31,8.65,14.36,20.07,18.16,14.34,10.68,5.77,2.65
2024,AL,2,3,49.05,735.94,5.79,7.05,9.46,14.36,20.36,22.25,13.76,5.07,1.92
2024,AL,2,5,48.63,735.51,5.81,7.14,9.62,14.41,20.45,22.09,13.64,4.97,1.86
2024,AC,2,3,48.16,736.01,5.85,6.96,4.57,14.92,26.63,22.88,13.8,3.7,0.69
2024,AL,2,2,39.92,726.39,6.38,9.25,12.89,15.62,22.41,18.69,11.03,3,0.73
2024,SE,2,2,40.94,726.88,6.97,10.18,10.25,13.73,24.56,19.94,11.28,2.95,0.15
2024,SE,2,5,38.39,723.56,8.02,11.55,9.53,13.8,25.74,19.07,9.88,2.21,0.2
2024,SE,2,3,38.05,723.11,8.16,11.74,9.43,13.81,25.91,18.95,9.69,2.11,0.21
